Name,Parsing algorithm,Input grammar notation,Output languages,Grammar  code,Lexer,Development platform,IDE,License
ANTLR4,ALL(*)[2],EBNF,C#  Java  Python  JavaScript  C  Swift  Go  PHP,DA|Mixed,generated,Some|Java virtual machine,Yes,Free  BSD
ANTLR3,LL(*),EBNF,ActionScript  Ada95  C  C  C#  Java  JavaScript  ObjectiveC  Perl  Python  Ruby,DA|Mixed,generated,Some|Java virtual machine,Yes,Free  BSD
APG,Recursive descent  backtracking,ABNF,C  C  JavaScript  Java,DP|Separate,none,Yes|All,No,Free  GNU GPL
AXE,Recursive descent,AXE/C,C17  C11,DA|Mixed,none,Some|Any with C17 or C11 standard compiler,No,Free  Boost
Beaver,LALR(1),EBNF,Java,DA|Mixed,external,Some|Java virtual machine,No,Free  BSD
Belr,Recursive descent,ABNF,C17  C11,DP|Separate,included,Some|POSIX,No,Partial  GNU GPL  proprietary
Bison,LALR(1)  LR(1)  IELR(1)  GLR,Yacc,C  C  Java,DA|Mixed,external,Yes|All,No,Free  GNU GPL with exception
Bison[3],LALR(1),?,C,DA|Mixed,external,Some|POSIX,No,Free  GNU GPL
Bisonc,LALR(1),?,C,DA|Mixed,external,Some|POSIX,No,Free  GNU GPL
Boozetools,LALR(1) or LR(1) canonical or minimal,BNF with macros in place of EBNF,State machine can be runtimegenerated or saved as JSON,DA|Mixed  separable,included,Some|Python,No,Free  public domain
BtYacc,Backtracking Bottomup,?,C,DA|Mixed,external,Yes|All,No,Free  public domain
byacc,LALR(1),Yacc,C,DA|Mixed,external,Yes|All,No,Free  public domain
BYACC/J,LALR(1),Yacc,C  Java,DA|Mixed,external,Yes|All,No,Free  public domain
CLYacc,LALR(1),Lisp,Common Lisp,DA|Mixed,external,Yes|All,No,Free  MIT
Coco/R,LL(1),EBNF,C  C  C#  F#  Java  Ada  Object Pascal  Delphi  Modula2  Oberon  Ruby  Swift  Unicon  Visual Basic NET,DA|Mixed,generated,Some|Java virtual machine  NET Framework  Windows  POSIX (depends on output language),No,Free  GNU GPL
CookCC,LALR(1),Java annotations,Java,DA|Mixed,generated,Some|Java virtual machine,No,Free  Apache 20
CppCC,LL(k),?,C,DA|Mixed,generated,Some|POSIX,No,Free  GNU GPL
CSP,LR(1),?,C,DP|Separate,generated,Some|POSIX,No,Free  Apache 20
CUP,LALR(1),?,Java,DA|Mixed,external,Some|Java virtual machine,No,Free  BSDlike
Dragon,LR(1)  LALR(1),?,C  Java,DP|Separate,generated,Yes|All,No,Free  GNU GPL
eli,LALR(1),?,C,DA|Mixed,generated,Some|POSIX,No,Free  GNU GPL  GNU LGPL
Tunnel Grammar Studio,Recursive descent  backtracking,ABNF,C,DP|Separate,generated,Some|Windows,Yes,Proprietary
