Name,Panorama leveling,Vignetting correction,Lens distortion correcting,White balance correction,Exposure correction,Viewpoint adjustment,Notes
Panoweaver Standard / Professional[8],yes,yes,yes,yes,yes,yes,[empty]
Dermandar,yes,no,yes,no,yes,no,[empty]
i2Align Quickage Express / Pro[9],yes,dunno,yes,dunno,yes,no,[empty]
Pixtra PanoStitcher[10],yes,yes,yes,no,yes,no,Also chromatic aberration correction if correction parameters provided
Pixtra OmniStitcher,yes,yes,yes,no,yes,no,Also chromatic aberration correction if correction parameters provided
QuickPHOTO,no,yes,no,yes,yes,no,[empty]
PhotoFit Harmony / Premium[11],yes,dunno,yes,yes,dunno,no,[empty]
PanoramaPlus X4[12],yes,dunno,dunno,dunno,dunno,no,[empty]
PanoramaBuilder 70 / PanoramaBuilder 70 Pro,dunno,dunno,dunno,dunno,dunno,no,[empty]
360 Panorama Professional,dunno,dunno,dunno,dunno,dunno,no,[empty]
VRstitcher Fisheye Pro[13],yes,dunno,yes,dunno,dunno,no,[empty]
COOL 360,dunno,dunno,dunno,dunno,dunno,no,[empty]
PanaVue ImageAssembler Std / Pro / Ent[14],yes,dunno,yes,yes,dunno,no,[empty]
The Panorama Factory v5[15],dunno,yes,yes,dunno,dunno,no,[empty]
PixMaker Lite / Home / Business,dunno,dunno,dunno,dunno,dunno,no,[empty]
PTAssembler[16],yes,yes,yes,yes,yes,no,[empty]
PTgui / PTgui Pro,yes,yes,yes,yes,yes,yes[17],[empty]
Autopano Pro / Giga / Server,yes,yes,yes,yes,yes,yes*[18],(*) Giga only
Autostitch,yes,no,no,no,no,no,[empty]
Calico Panorama,yes,dunno,dunno,dunno,dunno,no,[empty]
Hugin,yes,yes,yes,yes,yes,yes[19],[empty]
3DVista Stitcher 30,dunno,dunno,dunno,dunno,dunno,no,[empty]
D Joiner[20],no,no,no,no,no,no,[empty]
Panorama Maker 6,dunno,dunno,dunno,dunno,dunno,no,[empty]
Photovista Panorama[21],no,no,no,no,no,no,[empty]
PanoramaStudio / Pro [22],yes,yes,yes,dunno,yes,no,[empty]
Stitcher Unlimited 2009,dunno,dunno,dunno,yes,dunno,no,[empty]
ADG Panorama Tools / Pro,yes,dunno,dunno,yes,dunno,no,[empty]
Panorama Composer 3[23],yes,dunno,dunno,dunno,dunno,no,[empty]
Image Composite Editor,yes,yes,yes,no,yes,no,[empty]
Panorama Perfect[24],yes,yes,dunno,yes,yes,no,[empty]
Photoshop,yes,yes,yes,yes,yes,no,[empty]
AIPR Lite 1,no,yes*,yes,no,no,no,(*) color mapping about the seams greatly mitigates the effects of vignetting
Gigapan Stitch 10,no,no,yes,no,no,no,[added]
PanoramaMaker,yes,dunno,yes,dunno,yes,no,[added]
Panorama Stitcher,yes,yes,yes*,no,yes,yes,(*) Only for rectilinear lenses
SharpStitch,yes,yes,no,yes,yes,yes,[empty]
Pano2VR / Pano2VR pro[25],yes,no,no,no,no,yes,[empty]
Name,Panorama leveling,Vignetting correction,Lens distortion correcting,White balance correction,Exposure correction,Viewpoint adjustment,Notes
