Name,Raster images (JPEG  TIFF  etc),Flash viewer,Java viewer,QTVR,HTML 5*,Notes
Panoweaver Standard / Professional,yes,yes,yes,yes,yes,Includes free Flash and HTML5 viewer
Dermandar,yes,yes,no,no,yes,Includes free Flash and HTML5 viewer
i2Align Quickage Express / Pro,yes,no,no,no,no,[empty]
Pixtra PanoStitcher,yes,yes,yes,yes,no,Includes ActiveX viewer & export
Pixtra OmniStitcher,yes,yes,yes,yes,no,Includes ActiveX viewer & export
QuickPHOTO,yes,no,no,no,no,[empty]
PhotoFit Harmony / Premium,yes,no,no,yes,no,[empty]
PanoramaPlus X4,yes,no,no,yes,no,Flickr export
PanoramaBuilder 70 / PanoramaBuilder 70 Pro,yes,yes*,no,no,no,(*) Planar viewer
360 Panorama Professional,yes,no,yes,yes,no,[empty]
VRstitcher Fisheye Pro,yes,no,yes,dunno,no,[empty]
COOL 360[26],yes,no,no,yes,no,Embedding of panoramas into executables (exe) and Microsoft Office files ActiveX viewer
PanaVue ImageAssembler Std / Pro / Ent,yes,yes,yes,yes,no,[empty]
The Panorama Factory v5,yes,no,yes,yes,no,[empty]
PixMaker Lite / Home / Business,yes,dunno,dunno,dunno,no,[empty]
PTAssembler,yes,no,no,no,no,[empty]
PTgui / PTgui Pro,yes,no,no,yes,yes[27],[empty]
Autopano Pro / Giga / Server,yes,yes,no,no,no,[empty]
Autostitch,yes,no,no,no,no,[empty]
Calico,yes,no,dunno,dunno,dunno,[empty]
Hugin,yes,no,no,no,no,[empty]
3DVista Stitcher 30,yes,no,no,no,no,[empty]
D Joiner,yes,dunno,yes,no,no,[empty]
Panorama Maker 6,yes,yes,yes,yes,no,[empty]
Photovista Panorama,yes,no,yes,no,no,IVR export
PanoramaStudio / pro[28],yes,yes,yes,no,yes,[empty]
Stitcher Unlimited 2009,yes,yes,yes,yes,no,VRML export
ADG Panorama Tools / Pro,yes,no,yes,yes,no,[empty]
Panorama Composer 3,yes,yes,yes,yes,no,Includes ActiveX viewer & export
Image Composite Editor,yes,no,no,no,no,Publish to Photosynth website  Silverlight based viewer
Panorama Perfect,yes,no,no,no,no,[empty]
Photoshop,yes,no,no,no,no,[empty]
AIPR Lite 1,yes,no,no,no,no,[empty]
Gigapan Stitch 10,yes,yes,no,no,no,3D viewer in stitcher / Publishing to gigapanorg 2D flash viewer / Embeddable flash viewer
PanoramaMaker,yes,no,no,no,no,[empty]
PanoEdit,yes,no,no,no,no,[empty]
SharpStitch,yes,no,no,no,no,[empty]
Pano2VR / Pano2VR pro,yes,yes,no,yes,yes,[empty]
Name,Raster images (JPEG  TIFF  etc),Flash viewer,Java viewer,QTVR,HTML 5*,Notes
