Name,Manufacturer,Release,Size,Type,Capacity (GB)[1],Storage,External,Dimensions (mm × mm),Depth (mm),Weight (g),Firmware
Archos 105,Archos,20070831[2],[empty],DAP,0002 2,Flash,SDHC[3],85 × 45,7,50[4],1607[5]
Archos 405,Archos,20070901[6],Mini,PMP,0002 2,Flash,SDHC[3],996 × 78,132,11907,1803[7][8]
Archos 405,Archos,20080207[9],Mini,PMP,0030 30,HDD,[empty],100 × 78,15,191,1803[7][8]
Archos 5,Archos,20080819,Mid,PMP,0500 120/500,HDD,8��32 GB and Micro SD Slot (SDHC compatible),127 × 788,194,300,1653[10]
Archos 605 WiFi/GPS,Archos,20070901[11],Mid,PMP,0004 4,Flash,SDHC[3],convert|48|×|32|in|mm|disp=output number only,convert|06|in|mm|disp=output number only,convert|529|oz|g|disp=output number only,1803[12][13]
Archos 605 WiFi/GPS,Archos,20070901[11],Mid,PMP,0160 30/80/160,HDD,[empty],convert|48|×|32|in|mm|abbr=on|disp=output number only,convert|06|in|mm|disp=output number only,convert|67|oz|g|disp=output number only,1803[12][13]
Archos 705 WiFi,Archos,20071127[14],Mega,PMP,0160 80/160,HDD,[empty],182 × 128,1969,630,1803[15]
Cowon A3,Cowon,20071114[16],Mid,PMP,0080 30/60/80,HDD,[empty],1334 × 785,22,280,124[17]
Cowon D2,Cowon,20061205[18],Micro,PMP,0016 2/4/8/16,Flash,SDHC[3],780 × 554,166,910,257[19]
Cowon Q5W,Cowon,20071130[20],Mid,PMP,0080 40/60/80,HDD,[empty],1388 × 885,20,380,15[21]
Cowon O2PMP,Cowon,[empty],Mid,PMP,0032 8/16/32,Flash,[empty],convert|470|×|289|in|mm|disp=output number only|abbr=on,convert|070|in|mm|disp=output number only,convert|723|oz|g|disp=output number only,[empty]
Gigabeat TSeries,Toshiba,20070925[22],Micro,PMP fack,0004 4,Flash,[empty],213 × 338,convert|058|in|mm|disp=output number only,5811,No release
GP2X F200,GamePark Holdings,20071028[23],Mid,PMP  HGC,0064 64,[empty],SDHC[3],convert|565|×|326|in|mm|abbr=on|disp=output number only,convert|134|in|mm|disp=output number only,convert|568|oz|g|disp=output number only,400[24]
iPod,Apple,2001[25],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iPod classic 6G,Apple,20070907[26],Mini,DAP,0160 160,HDD,[empty],convert|41|×|24|in|mm|abbr=on|disp=output number only,convert|041|in|mm|disp=output number only,convert|49|oz|g|disp=output number only,112[27]
iPod nano 6G,Apple,20100908[28],Micro,DAP,0016 8/16,Flash,[empty],convert|148|×|161|in|mm|abbr=on|disp=output number only,convert|035|in|mm|disp=output number only,convert|074|oz|g|disp=output number only,12[29]
iPod touch 5G,Apple,20121009[30],Mini,PMP,0064 32/64,Flash,[empty],1234 x 586,61,88,90
iriver clix 2G,ReignCom,20070424[31],Micro,PMP,0008 2/4/8,Flash,[empty],convert|316|×|184|in|mm|abbr=on|disp=output number only,convert|032|��|05|in|mm|disp=output number only,convert|19|oz|g|disp=output number only,107
PSP Slim & Lite,Sony,20070830[32],Mid,PMP  HGC,0064 64[33],[empty],Memory Stick,convert|67|×|29|in|mm|abbr=on|disp=output number only,convert|071|in|mm|disp=output number only,convert|667|oz|g|disp=output number only,610[34]
Rio PMP300,Diamond Multimedia,19980915,Mid,DAP,0032,Flash,SmartMedia,89x63,16,[empty],[empty]
Samsung Galaxy Player 40 & 50,Samsung,20111016[35],Mid,PMP,0008 8/16,Flash,microSDHC,1237 x 642 (40)  1413 x 782 (50),99 (40)  119 (50),121 (40)  182 (50),235
Samsung T10,Samsung,200709,[empty],DAP,0008 2/4/8,Flash,[empty],96 × 414,79,43,306[36]
Samsung P2,Samsung,200709,[empty],DAP,0008 4/8,Flash,[empty],100 × 52,99,83,510[37]
Sansa Fuze,SanDisk,20080317[38],[empty],DAP,0008 2/4/8,Flash,microSDHC,787 × 483,76,595,010228 & 020333[39]
Sansa Fuze,SanDisk,20100901[40],[empty],PMP,0008 4/8/16,Flash,microSD microSDHC,965 × 507,111,170,023806[41]
Sansa View,SanDisk,20071026[42],[empty],PMP,0032 8/16/32,Flash,microSDHC,convert|429|×|195|in|mm|abbr=on|disp=output number only,convert|041|in|mm|disp=output number only,convert|29|oz|g|disp=output number only,010302a[43]
Walkman NWZA820 series,Sony,20080328[44],[empty],DAP,0008 4/8/16,Flash,[empty],convert|35|×|17|in|mm|abbr=on|disp=output number only,convert|04|in|mm|disp=output number only,convert|19|oz|g|disp=output number only,102
Walkman NWZE580 series,Sony,20130710[45],[empty],DAP,0008 8/16,[empty],[empty],421 x 921,8,49,[empty]
ZEN,Creative,20070914[46],Micro,PMP,0032 2/4/8/16/32,Flash,SDHC[3],convert|326|×|216|in|mm|abbr=on|disp=output number only,convert|044|in|mm|disp=output number only,convert|229|oz|g|disp=output number only,12101[47]
ZEN XFi,Creative,20080710,Micro,PMP,0032 8/16/32,Flash,SD,convert|327|×|217|in|mm|abbr=on|disp=output number only,convert|05|in|mm|disp=output number only,convert|243|oz|g|disp=output number only,10301[48]
ZEN Vision W,Creative,20060830,Mid,PMP,0060 30/60,HDD,CF,convert|527|×|295|in|mm|abbr=on|disp=output number only,convert|086|in|mm|disp=output number only,convert|973|oz|g|disp=output number only,11001[49]
Zune 30,Microsoft,20061114,Mid,PMP,0030 30,HDD,[empty],convert|44|×|24|in|mm|abbr=on|disp=output number only,convert|058|in|mm|disp=output number only,convert|56|oz|g|disp=output number only,33[50]
Zune 4/8,Microsoft,20071113[51],Micro,PMP,0008 4/8,Flash,[empty],convert|36|×|163|in|mm|abbr=on|disp=output number only,convert|033|in|mm|disp=output number only,convert|166|oz|g|disp=output number only,33[50]
Zune 16,Microsoft,20080916,Micro,PMP,0016 16,Flash,[empty],convert|36|×|163|in|mm|abbr=on|disp=output number only,convert|033|in|mm|disp=output number only,convert|166|oz|g|disp=output number only,33[50]
Zune 80,Microsoft,20071113[51],Mid,PMP,0080 80,HDD,[empty],convert|426|×|241|in|mm|abbr=on|disp=output number only,convert|051|in|mm|disp=output number only,convert|452|oz|g|disp=output number only,33[50]
Zune 120,Microsoft,20080916,Mid,PMP,0120 120,HDD,[empty],convert|426|×|241|in|mm|abbr=on|disp=output number only,convert|051|in|mm|disp=output number only,convert|452|oz|g|disp=output number only,33[50]
Zune HD,Microsoft,20090915,Mini,PMP,0064 16/32/64,Flash,[empty],convert|408|×|207|in|mm|abbr=on|disp=output number only,convert|035|in|mm|disp=output number only,convert|26|oz|g|disp=output number only,45
Zvue 260,Zvue,20070717[52],[empty],DAP,0000 None,HDD,SDHC[3],convert|416|×|256|in|mm|abbr=on|disp=output number only,convert|05|in|mm|disp=output number only,convert|42|oz|g|disp=output number only,280 I_071012[53]
Name,Manufacturer,Release,Size,Type,Capacity (GB)[1],Storage,External,Dimensions (mm × mm),Depth (mm),Weight (g),Firmware
