Name,MP3,FairPlay,ALAC,AAC,WMADRM,WMA Lossless,WMA,WAV,Audible,Ogg Vorbis,FLAC,Others
Archos 105,yes,no,no,no,yes,no,yes,yes,no,no,no,no
Archos 405,yes,no,no,yes2No[90],yes,no,yes,yes,no,no,no,yes2AC3[90]
Archos 5,yes,no,no,yes2No[90],yes,no,yes,yes,no,yes,yes,yes2AC3[90]
Archos 605 WiFi / GPS,yes,no,no,yes2No[90],yes,no,yes,yes,no,no,no,yes2AC3[90]
Archos 705 WiFi,yes,no,no,yes2No[90],yes,no,yes,yes,no,no,no,yes2AC3[90]
Cowon A3,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes|APE  MPC  PCM  TTA  WV
Cowon D2,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes|APE
Cowon Q5W,yes,no,no,no,yes,yes,yes,yes,no,yes,yes,yes|APE  MPC
Gigabeat TSeries,yes,no,no,no,yes,yes,yes,yes,no,no,no,no
GP2X F200,yes,no,no,no,no,no,yes2No[91],no,no,yes,yes2No[92],yes2APE  MP2  MPC [92] TTA  WV[93]
iPod,yes,yes,yes,yes,no,no,no,yes,yes,no,no,yes|AIFF
iriver clix 2G,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,no
PSP Slim & Lite,yes,no,no,yes,no,no,yes,yes,no,no,no,yes|ATRAC
Samsung Galaxy Player,yes,no,no,yes,no,no,yes,yes,yes,yes,yes,no
Samsung T10,yes,no,no,no,yes,no,yes,no,no,yes,no,no
Samsung P2,yes,no,no,yes,yes,no,yes,no,no,yes,no,no
Sansa Fuze,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,Unk
Sansa Fuze,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,Unk
Walkman NWZA810 series,yes,no,no,yes,yes,no,yes,yes,no,no,no,no
ZEN,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no
ZEN Vision W,yes,no,no,no,yes,yes2 No[94],yes,yes,yes,no,no,no
Zune,yes,no,no,yes,yes,yes,yes,no,yes,no,no,Yes|WMA Pro Stereo
ZVUE 260,yes,no,no,no,yes,no,yes,yes,no,yes,no,yes|MP2
! MP3,AACDRM,ALAC,AAC,WMADRM,WMA Lossless,WMA,WAV,Audible,Ogg Vorbis,FLAC,Others,[added]
