Operator,Languages
+,ALGOL 68  BASIC  C++  C#  Cobra  Pascal  Object Pascal  Eiffel  Go  JavaScript  Java  Python  Turing  Ruby  Rust  Windows PowerShell  Objective-C  Swift  F#  Scala  Ya
++,Haskell  Erlang
$+,mIRC Scripting Language
&,Ada  AppleScript  COBOL (for literals only)  Curl  Seed7  VHDL  Visual Basic  Visual Basic .NET  Excel  FreeBASIC
nconc,Common Lisp
.,Perl  PHP  and Maple (up to version 5)  Autohotkey
~,Raku and D
<nowiki>,</nowiki>
<>,Mathematica  Wolfram Language
..,Lua
:,Pick Basic
 ,J programming language  Smalltalk  APL
^,OCaml  Standard ML  F#  rc
//,Fortran
*,Julia
Syntax,Language(s)
$"hello  {name}",C#  Visual Basic .NET
"Hello  $name!",Bourne shell  Perl  PHP  Windows PowerShell
qq(Hello  $name!),Perl (alternate)
"Hello  {$name}!",PHP (alternate)
"Hello  #{name}!",CoffeeScript  Ruby
%Q(Hello  #{name}!),Ruby (alternate)
(format t "Hello  ~A" name),Common Lisp
`Hello  ${name}!`,JavaScript (ECMAScript 6)
"Hello  \(name)!",Swift
f'Hello  {name}!',Python
Syntax,Language(s)
"I said \"Hello  world!\"",C  C++  C#  D  F#  Java  JavaScript  Mathematica  Ocaml  Perl  PHP  Python  Rust  Swift  Wolfram Language  Ya
'I said \'Hello  world!\'',CoffeeScript  JavaScript (alternate)  Python (alternate)
"I said `"Hello  world!`"",Windows Powershell
"I said ^"Hello  world!^"",REBOL
{I said "Hello  world!"},REBOL (alternate)
"I said  %"Hello  World!%"",Eiffel
!"I said \"Hello  world!\"",FreeBASIC
r#"I said "Hello  world!""#,Rust (alternate)
