[empty],Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation)
Adobe Streamline,Adobe Systems,1989,40,discontinued,Proprietary,[empty]
CorelDRAW,Corel,1989,2017,$449  $169 upgrade,Proprietary,Windows
Easy Trace,Easy Trace Group,2015,98,960 Euro  480 Euro upgrade,Proprietary,Windows
Macromedia FreeHand,Macromedia,1988,1102 discontinued (MX),$399  $99 upgrade,Proprietary,Windows  macOS
Adobe Illustrator,Adobe Systems,1985,2100 (CC2017),$1999 per month,Proprietary,Windows  macOS
Graphic Tracer Professional,GraphicPowerscom,2016,release 5,$15 per month/ $120 per year,Proprietary,Windows  macOS due fall 2017
Inkscape (using Potrace),Inkscapeorg,2003,092,free,GPL,Windows  macOS  Linux
ImageTracer,András Jankovics,2015,125,free,Public domain,Crossplatform   JavaScript or Java based
MagicTracer,Elgorithms,2003,20012,$59,Proprietary,Windows
Potrace,Peter Selinger,2001,116 (Sep 2019),free,GPL,Windows  macOS  Linux  BSD  AmigaOS/AROS
Scan2CAD,Avia Systems,1997,v10,$49  $149 /month,Proprietary,Windows  macOS
WinTopo Freeware,SoftSoft Ltd,1999,2015 (v176),free,Freeware,Windows
WinTopo Pro,SoftSoft Ltd,2000,2015 (v36),$299,Proprietary,Windows
Xara Photo & Graphic Designer,Xara Group Ltd,1994,2014 (v10),$8999,Proprietary,Windows
Super Vectorizer,Effectmatrix Ltd,2013,2016 (v166),$2999,Proprietary,macOS
! Creator,Released,Latest version,List price (USD),License,Supported OS (without emulation),[added]
