[empty],sRGB,Adobe sRGB,Indexed,Grayscale,CMYK,LAB,HSV
Ability Photopaint,yes,dunno,yes,yes,partial|Import only,[empty],[empty]
ACD Canvas,yes,dunno,yes,yes,yes,[empty],[empty]
ACDSee (Win),yes,yes,yes,yes,no,no,no
Acorn Image Editor,yes,yes,partial|Import only,partial|Import only,yes,partial|Import only,partial|Import only
Adobe Fireworks*,yes,yes,yes,yes,yes,no,yes
Adobe Photoshop,yes,yes,yes,yes,yes,yes,yes
Adobe Photoshop Lightroom,yes,yes,dunno,yes,partial|Import only,dunno,dunno
Affinity Photo,yes,yes,yes,yes,yes,yes,yes
Autodesk SketchBook Pro,yes,dunno,yes,no,no,[empty],[empty]
Artipic,yes,yes,yes,partial|Import only,partial|Import only,partial|Import only,partial|Import only
ArtRage,yes,dunno,no,no,no,[empty],[empty]
Artweaver,yes,dunno,dunno,dunno,dunno,[empty],[empty]
Bibble*,yes,yes,dunno,yes,dunno,dunno,dunno
Brush Strokes Image Editor,yes,dunno,dunno,dunno,dunno,[empty],[empty]
Capture One,yes,yes,yes,yes,yes,yes,yes
Chasys Draw IES,yes,no,yes,yes,partial,no,partial
CinePaint,yes,yes,no,yes,yes,yes,[empty]
CodedColor PhotoStudio Pro,yes,yes,yes,yes,yes,[empty],[empty]
Corel PaintShop Pro,yes,yes,yes,yes,yes,partial[29],partial[29]
Corel Painter,yes,dunno,no,no,yes,[empty],[empty]
Corel PhotoPaint,yes,yes,yes,yes,yes,yes,[empty]
darktable,yes,yes,dunno,dunno,dunno,yes,dunno
Deluxe Paint*,yes,dunno,yes,yes,no,[empty],yes
Erdas Imagine,yes,yes,yes,yes,yes,no,yes
Fatpaint,yes,no,partial,partial,partial,no,partial
Fotografix,yes,no,partial|Import only,partial|Import only,partial|Import only,no,no
GIMP,yes,yes,yes,yes,partial[30],partial[29],yes
GIMPshop,yes,yes,yes,yes,partial[30],no,yes
GrafX2,no,no,yes,no,no,no,no
GraphicConverter,yes,yes,yes,yes,yes,[empty],[empty]
Helicon Filter,yes,yes,dunno,yes,yes,[empty],[empty]
iPhoto*,yes,yes,no,yes,yes,yes,yes
IrfanView,yes,dunno,yes,yes,no,[empty],[empty]
Iridient Developer,yes,yes,yes,yes,yes,yes,yes
Kolourpaint,yes,dunno,no,yes,no,[empty],[empty]
Krita,yes,yes,no,yes,yes,yes,yes
MacPaint*,no,no,no,yes,no,[empty],[empty]
Microsoft Office Picture Manager*,yes,dunno,dunno,dunno,no,[empty],[empty]
Microsoft Paint,yes,dunno,partial|Import only,no,no,no,no
Microsoft Photo Editor*,yes,dunno,yes,yes,no,[empty],[empty]
mtPaint,yes,dunno,dunno,yes,dunno,dunno,dunno
OpenCanvas,yes,dunno,dunno,yes,no,[empty],[empty]
PaintNET,yes,no,partial,partial,partial,no,partial
Paint Tool SAI,yes,no,dunno,yes,dunno,dunno,dunno
PC Paintbrush*,no,dunno,yes,no,no,[empty],[empty]
Photogenics,yes,yes,yes,yes,yes,[empty],[empty]
PhotoLine,yes,yes,yes,yes,yes,yes,yes
PhotoPerfect*,yes,partial|Import only,no,yes,partial|Import only,partial|Curve editing only,no
Photos,yes,yes,no,yes,yes,yes,yes
Photo Raster,yes,no,no,partial,no,no,no
Picasa*,yes,dunno,partial,partial,no,[empty],[empty]
PicMaster,yes,no,no,yes,yes,yes,yes
PixBuilder Photo Editor,yes,yes,yes,yes,no,[empty],[empty]
Pixelmator,yes,yes,yes,no,no,no,no
Pixia,yes,dunno,no,no,no,[empty],[empty]
Project Dogwaffle,yes,dunno,no,no,no,[empty],[empty]
QFX,yes,yes,yes,yes,yes,[empty],[empty]
RawTherapee,yes,yes,no,yes,no,yes,yes
Seashore,yes,yes,dunno,yes,yes,dunno,dunno
Serif PhotoPlus,yes,yes,dunno,yes,yes,dunno,dunno
Tux Paint,yes,no,no,no,no,no,no
TVPaint,yes,dunno,no,no,no,[empty],[empty]
Ulead PhotoImpact*,yes,yes,yes,yes,partial|Import only,no,yes
Ultimate Paint*,yes,dunno,yes,yes,no,[empty],[empty]
WinImages,yes,dunno,dunno,dunno,yes,[empty],yes
Xara Photo & Graphic Designer,yes,partial,partial,partial,partial,no,partial
XnView,yes,dunno,yes,yes,partial,no,partial
XPaint,yes,no,partial,yes,no,no,no
Zoner Photo Studio,yes,yes,yes,yes,partial,partial,no
