[empty],TGA,RAW imports,BMP,GIF,JPEG,JPEG 2000,HD Photo,PNG,TIFF,PSD,PSP,XCF,PCX,ORA,HEIF
Ability Photopaint,dunno,dunno,yes,yes,yes,no,[empty],yes,yes,yes,no,no,dunno,[empty],[empty]
ACD Canvas,dunno,dunno,yes,yes,yes,no,[empty],yes,yes,yes,yes,no,dunno,[empty],[empty]
ACDSee (Win),dunno,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,dunno,dunno,dunno,[empty]
Acorn Image Editor,dunno,yes,yes,yes,yes,yes,no,yes,yes,yes,dunno,dunno,dunno,[empty],[empty]
Adobe Fireworks*,dunno,dunno,yes,yes,yes,yes,[empty],yes,yes,yes,no,no,[empty],[empty],[empty]
Adobe Photoshop,dunno,yes,yes,yes,yes,partial|Via plugin[31],yes,yes,yes,yes,no,no,yes,[empty],[empty]
Adobe Photoshop Lightroom,dunno,yes,no,partial|Via plugin[32],yes,partial|Via plugin[33],no,partial|Via plugin[32],yes,partial[34],dunno,dunno,dunno,[empty],[empty]
Affinity Photo,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes
Autodesk SketchBook Pro,dunno,dunno,yes,yes,yes,yes,[empty],yes,yes,yes,no,no,no,[empty],[empty]
Artipic,dunno,yes,yes,yes,yes,yes,[empty],yes,yes,partial,no,no,yes,[empty],[empty]
ArtRage,dunno,dunno,yes,yes,yes,no,[empty],yes,yes,yes,no,no,dunno,[empty],[empty]
Artweaver,dunno,no,yes,yes,yes,partial,[empty],yes,yes,partial,no,no,yes,[empty],[empty]
Bibble*,dunno,yes,no,no,yes,no,no,no,yes,no,no,no,no,[empty],[empty]
Brush Strokes Image Editor,dunno,dunno,yes,yes,yes,no,[empty],yes,yes,no,no,no,dunno,[empty],[empty]
Capture One,dunno,yes,yes,yes,yes,yes,[empty],yes,yes,yes,dunno,dunno,dunno,[empty],[empty]
Chasys Draw IES,dunno,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,[empty]
CinePaint,dunno,yes,yes,yes,yes,no,[empty],yes,yes,partial,no,yes,dunno,[empty],[empty]
CodedColor PhotoStudio Pro,dunno,dunno,yes,yes,yes,yes,[empty],yes,yes,yes,no,no,yes,[empty],[empty]
Corel PaintShop Pro,dunno,yes,yes,yes,yes,yes,[empty],yes,yes,partial[35],yes,no,yes,[empty],[empty]
Corel Painter,dunno,dunno,yes,yes,yes,no,[empty],no,yes[36],yes,yes,no,Import,[empty],[empty]
Corel PhotoPaint,dunno,yes,yes,yes,yes,yes,[empty],yes,yes,yes,yes,no,yes,[empty],[empty]
darktable,dunno,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,[empty],[empty]
Deluxe Paint*[37],no,no,no,no,no,no,[empty],no,no,no,no,no,no,[empty],[empty]
DigiKam,dunno,yes,yes,yes,yes,yes,[empty],yes,yes,no,no,yes,dunno,[empty],[empty]
Erdas Imagine,dunno,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,Import,[empty],[empty]
Fatpaint,dunno,no,no,no,yes,no,no,yes,no,no,no,no,no,[empty],[empty]
Fotografix,dunno,partial,yes,yes,yes,no,no,yes,yes,partial|Import only,no,partial|Import only,partial|Import only,[empty],[empty]
GIMP,yes[38],yes,yes,yes,yes,yes[39],partial|Via plugin[40],yes,yes[41],yes,yes,yes,yes,yes,yes[42]
GIMPshop,dunno,dunno,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,[empty],[empty]
GrafX2,dunno,no,yes,yes,partial|Import only,no,no,yes,partial|Import only,no,no,no,yes,[empty],[empty]
GraphicConverter,dunno,partial[43],yes,yes,yes,yes,no,yes,yes,yes,yes,yes[44],yes,[empty],[empty]
HDR PhotoStudio,dunno,yes,yes,no,yes,no,no,no,yes,no,no,no,no,[empty],[empty]
Helicon Filter,dunno,yes,yes,Import,yes,yes,no,yes,yes,yes,no,no,no,[empty],[empty]
ImageMagick,dunno,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,[empty],[empty]
iPhoto*,dunno,yes,dunno,dunno,yes,dunno,no,yes,yes,yes,dunno,dunno,yes,[empty],[empty]
IrfanView,dunno,partial|Via plugin,yes,yes,yes,partial|Via plugin,partial|Via plugin,yes,yes,yes,yes,no,yes,[empty],[empty]
Iridient Developer,dunno,yes,yes,yes,yes,yes,[empty],yes,yes,yes,dunno,dunno,dunno,[empty],[empty]
Kolourpaint,dunno,dunno,yes,yes,yes,yes,no,yes,yes,no,no,Import,yes,[empty],[empty]
Krita,dunno,yes,yes,yes,yes,yes,[empty],yes,yes,yes,no,yes,Import,yes,[empty]
LiveQuartz,dunno,partial,yes,yes,yes,yes,no,yes,yes,partial,dunno,dunno,dunno,dunno,yes
LazPaint,dunno,[empty],yes,yes,yes,[empty],[empty],yes,[empty],[empty],[empty],[empty],[empty],yes,[empty]
MacPaint*,dunno,no,dunno,no,no,no,no,no,no,no,no,no,no,[empty],[empty]
Microsoft Office Picture Manager*,dunno,dunno,yes,yes,yes,no,[empty],yes,partial|First page only[45],no,no,no,yes,[empty],[empty]
Microsoft Paint,dunno,no,yes,partial[46],yes,no,no,partial[46],yes,no,no,no,no,[empty],[empty]
Microsoft Photo Editor*,dunno,no,yes,yes,yes,no,[empty],yes,no,no,no,no,Import,[empty],[empty]
mtPaint,yes,no,yes,yes,yes,dunno,no,yes,no,no,no,no,no,no,no
OpenCanvas,dunno,dunno,yes,no,yes,no,no,yes,no,yes[47],no,no,dunno,[empty],[empty]
PaintNET,dunno,yes,yes,yes,yes,yes,yes[48],yes,partial|Via plugins[49],partial,no,no,yes,[empty],[empty]
Paint Tool SAI,yes,no,yes,no,yes,dunno,no,yes,no,yes,no,no,no,no,no
PC Paintbrush*,dunno,dunno,no,yes,no,no,[empty],no,yes,no,no,no,yes,[empty],[empty]
Photogenics,dunno,dunno,yes,yes,yes,dunno,[empty],yes,yes,yes,dunno,dunno,yes,[empty],[empty]
PhotoLine,dunno,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,[empty],[empty]
PhotoPerfect*,dunno,yes,yes,no,yes,yes,no,yes,yes,partial|No layer support,yes,no,yes,[empty],[empty]
Photos,dunno,yes,dunno,dunno,yes,dunno,no,yes,yes,yes,dunno,dunno,yes,[empty],[empty]
Photo Raster,dunno,no,partial|Import,partial|Import,yes,no,no,yes,partial|Import,no,no,no,partial|Import,[empty],[empty]
Picasa*,dunno,yes,Import,Import,yes,no,[empty],Import,no,Import,no,no,no,[empty],[empty]
PicMaster,dunno,no,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,[empty],[empty]
