Research Networking Tool,hindex,Citation count,Altmetrics,SNIP and SJR,Journal Impact Factor*,Other,Comment
Academic Room,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Activity Insight,yes,yes,yes,yes,yes,[empty],[empty]
CIKNOW,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PROFILES by Mentis® (formerly Collaborative Partnership / Profile System),yes,yes,yes,yes,yes,[empty],[empty]
Community Academic Profiles  CAP,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Converis,yes,yes,yes Can integrate with altmetric data feed,no,yes,Category Normalized Citation Impact  Journal Normalized Citation Impact  Percentile in Category  Highly Cited Paper  Hot Paper  International Collaboration  Institutional Collaboration  Industry Collaboration and Open Access,[empty]
CurvitaTM Profile Manager,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
CUSP  Columbia University Scientific Profiles,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Digital Vita,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Elsevier's Pure (integrated with SciVal),yes,yes,yes Altmetric and PlumX,yes,no,Fieldweighted Citation Impact  Number of Authors  CiteScore,[empty]
Elsevier's SciVal,yes,yes,Yes Views data from ScienceDirect and Scopus,yes,no,20 indicators ranging from h  g & m indices  to Publications in Top Journal Percentiles  FieldWeighted Citation Impact  AcademicCorporate Collaboration Impact & Views per Publication,[empty]
Epernicus Solutions & Epernicus Network,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ERIM Member Profile System (ERIM MIS),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Esploro,yesPlanned,yes integrated with external tools,yes,yes planned,yes planned,Multiple researchrelated indicators to measure research outputs usage and impact,[empty]
EUREKA!TM Enhancing Student Research,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Expertise @ Maryland,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Faculty Profile System,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Faculty Research Information Profile (FRIP),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Faculty Scholarly Productivity Index,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GENIUS,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Google Scholar,yes,[empty],[empty],[empty],[empty],[empty],[empty]
HUBzero,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iamResearcher,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
iAMscientist,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
i2iConnect,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
InCites,yes,yes,yes Recorded Future partnership provides customized newsfeed and instition activity from web content,no,yes,[empty],[empty]
INDURE,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LatticeGrid,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Lattes Database,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LinkedIn,no,no,None,[empty],[empty],[empty],[empty]
Life Science Network,no,no,yes (views counts  recommendations  rating scores calculated from anonymous and nonanonymous contributions),no,no (but journals can be entered into the database and their IF indicated),[empty],[empty]
Loki,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Lyterati,!,!,!,,McCormick Collaboration Visualization Tool,[empty],[empty]
MizzouLinks,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MyScienceWork,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
OSUpro,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pivot,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Profiles,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ReachNC,yes,[empty],[empty],[empty],[empty],[empty],[empty]
Research Accelerator,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
ResearcherID,yes,yes,[empty],[empty],[empty],[empty],[empty]
SciENcv,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Symplectic Elements,yes,yes,yes,yes,yes,[empty],[empty]
VIVO,[empty],[empty],yes,[empty],[empty],[empty],[empty]
Yaffle,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
