Model,Launch,Code name,Fab (nm)[2],Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,Memory,API support
MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size (MB),Bandwidth (GB/s),Bus type,Bus width (bit),Direct3D,OpenGL,[added]
STG2000,September 1995,NV1,SGS 500 nm,PCI,12,75,111,12,12,12
Riva 128,April 1997,NV3,SGS 350 nm,AGP 1× [3] PCI,100,100,100,100,100,4
Riva 128ZX,February 23  1998,SGS/TSMC 350 nm,AGP 2×  PCI,8,16,[added],[added],[added],[added],[added]
Riva TNT,June 15  1998,NV4,TSMC 350 nm,90,110,222,180,180,180,8 16
Vanta,March 22  1999,NV6,TSMC 250 nm,AGP 4×,100,125,200,200,200,16
Vanta LT,March 2000,80,100,160,160,160,8 16,08,[added],[added]
Riva TNT2 M64,October 1999,AGP 4×  PCI,125,150,250,250,250,8  16 32,12,[added]
Riva TNT2,March 15  1999,NV5,16 32,24,128,[added],[added],[added],[added],[added]
Riva TNT2 Pro,October 12  1999,TSMC 220 nm,AGP 4×,143,166,286,286,286,32,2656
Riva TNT2 Ultra,March 15  1999,TSMC 250 nm,150,183,300,300,300,16 32,2928,[added]
